calories,total_fat,saturated_fat,cholesterol,sodium,calcium,fat,name
17,0.1,0,0,2,19,0.1,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta.
424,5.3,0.9,0,149,0,5.3,Rice Dal lentils Fish curry
424,5.3,0.9,0,149,0,5.3,Roti flatbread Chicken curry Mixed vegetable sabzi
28,0.4,0.1,0,27,48,0.35,Khichuri rice and lentil porridge Aloo bhaja fried potatoes Fish fry
147,5.3,0,0,2,6,5.33,Luchi deep-fried flatbread Aloo dum spiced potato curry Cholar dal Bengal gram lentils
16,0.2,0,0,42,5,0.19,Steamed rice Shorshe Ilish Hilsa fish in mustard sauce Bhindi bhaja fried okra
15,0.3,0,0,23,11,0.26,Paratha layered flatbread Mutton curry Baingan bhaja fried eggplant
410,6.4,2,258,281,228,6.4,Panta bhat fermented rice soaked in water Shorshe Maach mustard fish Potato mash
428,22,3,0,1,130,21.9,Rice Lau Ghonto bottle gourd curry Bhapa Maach steamed fish
116,1,0.2,77,763,49,0.96,Radhaballavi stuffed lentil puri Chholar dal Aloo posto potatoes in poppy seed paste
282,14,2.5,0,44,14,14.13,Vegetable pulao Chicken rezala Raita
203,10,2.7,93,78,28,10.4,Rice Shorshe Posto Bata Diye Bhetki mustard-poppy seed paste fish Tomato chutney
461,17,5.7,1,401,0,17.4,Panta Ilish fermented rice with Hilsa fish Shingara samosa Chingri bhaja fried shrimp
301,14,2.8,0,219,16,14.1,Paratha Niramish Aloo Dum vegetarian spiced potato curry Gobi Manchurian
313,4.3,1,0,601,165,4.27,Rice Doi Maach fish in yogurt curry Bandhakopir torkari cabbage curry
374,22,6.8,23,417,35,21.9,Mutton biryani Raita Keema matar minced meat with peas
500,36,3.6,0,446,71,35.71,Roti Bhindi do pyaza Palak paneer
331,0.7,0.2,0,60,79,0.73,Biryani Kosha Mangsho slow-cooked mutton Egg curry
763,100,15,0,0,0,100,Rice Shorshe Bhapa Chingri mustard-steamed prawns Kacha aam er chatni raw mango chutney
322,27,9.6,1085,48,129,26.54,Radhaballavi Chanar dalna cottage cheese curry Bhaja mulo fried radish
103,2.8,0,0,34,429,2.75,Chapati Bhindi masala Rajma chawal
147,5.8,2.7,68,1078,10,5.82,Vegetable biryani Rajma curry Boondi raita
233,14,1.7,0,471,33,13.73,Rice Maacher tel jhal spicy fish curry Aloo fulkopi bhaja fried potatoes with cauliflower
102,0.7,0.2,71,150,3,0.74,Chapati Gobi paratha Dum aloo
108,1.5,0.4,67,102,4,1.49,Khichdi Labra mixed vegetable curry Fish curry
216,11,6.8,34,76,109,11,Rice Shorshe Posto Diye Rui Maach rohu fish in mustard and poppy seed paste Kachumber salad
522,34,8.9,0,633,18,34.4,Paratha Baingan masala Rajma chawal
36,0.2,0,0,430,12,0.2,Luchi Chholar dal Alur torkari potato curry
249,0.9,0.1,0,10,162,0.93,Rice Bhapa Shorshe Maach steamed mustard fish Kakrol bhaja stir-fried teasel gourd
133,4.6,1.4,52,53,6,4.6,Chapati Malai kofta Aloo methi sabzi potatoes with fenugreek
261,0,0,0,0,0,0.02,Biryani Keema curry Onion raita
28,0.4,0.1,0,27,48,0.35,Rice Ilish bhapa steamed Hilsa fish Shojne daata diye moong dal
198,19,10,59,31,101,19.35,Radhaballavi Aloo dum Lau chingri bottle gourd with prawns
16,0.2,0.1,0,478,4,0.2,Paratha Baingan bharta Mix vegetable raita
264,10,3.5,27,494,127,10.09,Luchi Aloo posto Chana masala
352,28,17,123,534,650,28.2,Rice Pabda fish curry Potol bhaja fried pointed gourd
100,6.7,0,0,67,0,6.67,Chapati Methi aloo Gajar matar sabzi carrot and pea curry
133,6.7,0,0,67,0,6.67,Biryani Chicken rezala Pineapple raita
293,0.3,0.1,0,8031,143,0.34,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta
37,0.3,0,0,3,0,0.29,Vegetable pulao Kadai paneer Cucumber tomato salad
517,44,16,102,1420,14,44.2,Rice Shrimp curry Jhinge aloo posto ridge gourd with potatoes in poppy seed paste
425,37,13,80,1890,10,37,Paratha Methi thepla Aloo matar curry
427,14,2.1,0,704,36,14.13,Radhaballavi Aloo bhaja Tomato khejur chutney
570,50,7.1,0,22,106,49.6,Chapati Paneer tikka masala Bhindi masala
72,0.9,0.1,0,345,10,0.88,Luchi Sorshe Shorshe mustard-flavored curry Moong dal
102,0.7,0.2,59,65,5,0.74,Rice Shorshe Posto Bata Diye Ilish Bhapa Hilsa fish in poppy seed paste Bitter gourd fry
62,0.1,0,0,1,11,0.14,Biryani Chicken curry Mutton curry
48,0.7,0.1,0,420,56,0.69,Roti Gobi paratha Dum aloo
146,8,3.4,65,89,22,8.02,Khichdi Begun bhaja Mutton curry
172,10,2.8,55,1374,20,10.44,Biryani Keema curry Onion raita
245,19,8.6,61,1197,217,18.53,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta.
170,9.2,3,19,363,95,9.17,Rice Dal lentils Fish curry
78,0,0,0,980,107,0,Roti flatbread Chicken curry Mixed vegetable sabzi
318,0.2,0.1,0,80,3,0.2,Khichuri rice and lentil porridge Aloo bhaja fried potatoes Fish fry
177,8.6,1.1,0,242,49,8.59,Luchi deep-fried flatbread Aloo dum spiced potato curry Cholar dal Bengal gram lentils
44,1.3,0,0,2,13,1.26,Steamed rice Shorshe Ilish Hilsa fish in mustard sauce Bhindi bhaja fried okra
254,14,2.7,15,115,60,14,Paratha layered flatbread Mutton curry Baingan bhaja fried eggplant
32,0.4,0.1,0,10,11,0.44,Panta bhat fermented rice soaked in water Shorshe Maach mustard fish Potato mash
12,0.2,0,0,11,29,0.17,Rice Lau Ghonto bottle gourd curry Bhapa Maach steamed fish
281,8.2,0.8,0,43,61,8.2,Radhaballavi stuffed lentil puri Chholar dal Aloo posto potatoes in poppy seed paste
271,5.2,0,0,391,176,5.2,Vegetable pulao Chicken rezala Raita
251,3.3,1.4,0,20,443,3.26,Rice Shorshe Posto Bata Diye Bhetki mustard-poppy seed paste fish Tomato chutney
296,2.1,0.6,0,5,265,2.12,Panta Ilish fermented rice with Hilsa fish Shingara samosa Chingri bhaja fried shrimp
38,0.1,0,0,4,12,0.09,Paratha Niramish Aloo Dum vegetarian spiced potato curry Gobi Manchurian
719,80,31,0,3,145,79.55,Rice Doi Maach fish in yogurt curry Bandhakopir torkari cabbage curry
61,0.5,0,0,3,34,0.52,Mutton biryani Raita Keema matar minced meat with peas
64,1.4,0,0,9,185,1.4,Roti Bhindi do pyaza Palak paneer
98,0.4,0.1,0,21,9,0.4,Biryani Kosha Mangsho slow-cooked mutton Egg curry
391,3.3,2.1,9,391,4,3.3,Rice Shorshe Bhapa Chingri mustard-steamed prawns Kacha aam er chatni raw mango chutney
12,0.2,0,0,2,14,0.16,Radhaballavi Chanar dalna cottage cheese curry Bhaja mulo fried radish
45,0.7,0.2,0,76,187,0.7,Chapati Bhindi masala Rajma chawal
36,0.1,0,0,18,6,0.14,Vegetable biryani Rajma curry Boondi raita
157,9.4,1.4,17,329,15,9.4,Rice Maacher tel jhal spicy fish curry Aloo fulkopi bhaja fried potatoes with cauliflower
22,0.3,0.1,0,5,3,0.34,Chapati Gobi paratha Dum aloo
31,0.6,0.1,0,21,43,0.57,Khichdi Labra mixed vegetable curry Fish curry
358,29,17,95,338,659,28.51,Rice Shorshe Posto Diye Rui Maach rohu fish in mustard and poppy seed paste Kachumber salad
46,0.2,0,0,0,43,0.21,Paratha Baingan masala Rajma chawal
41,1.4,0.2,0,39,123,1.44,Luchi Chholar dal Alur torkari potato curry
57,0.2,0,0,5,10,0.15,Rice Bhapa Shorshe Maach steamed mustard fish Kakrol bhaja stir-fried teasel gourd
34,0.4,0,0,1,32,0.4,Chapati Malai kofta Aloo methi sabzi potatoes with fenugreek
94,1.2,0,0,15,176,1.18,Biryani Keema curry Onion raita
66,1.8,0.2,0,13,132,1.76,Rice Ilish bhapa steamed Hilsa fish Shojne daata diye moong dal
40,0,0,0,867,0,0,Radhaballavi Aloo dum Lau chingri bottle gourd with prawns
185,0.9,0,0,3380,67,0.9,Paratha Baingan bharta Mix vegetable raita
23,0.2,0,0,13,13,0.2,Luchi Aloo posto Chana masala
90,1.4,0.4,50,70,10,1.4,Rice Pabda fish curry Potol bhaja fried pointed gourd
103,0.8,0.2,71,120,3,0.8,Chapati Methi aloo Gajar matar sabzi carrot and pea curry
371,1.5,0.3,0,6,21,1.51,Biryani Chicken rezala Pineapple raita
416,9.8,2.5,0,501,77,9.8,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta
74,0,0,9,141,125,0,Vegetable pulao Kadai paneer Cucumber tomato salad
445,13,3.2,0,477,379,13.2,Rice Shrimp curry Jhinge aloo posto ridge gourd with potatoes in poppy seed paste
223,16,3.9,96,1027,74,16.19,Paratha Methi thepla Aloo matar curry
239,19,6.3,49,1280,7,18.83,Radhaballavi Aloo bhaja Tomato khejur chutney
276,7.4,2.7,0,55,1890,7.43,Chapati Paneer tikka masala Bhindi masala
40,0.2,0,0,66,24,0.15,Luchi Sorshe Shorshe mustard-flavored curry Moong dal
386,5.2,0.8,0,13,15,5.22,Rice Shorshe Posto Bata Diye Ilish Bhapa Hilsa fish in poppy seed paste Bitter gourd fry
327,29,10,105,807,70,28.5,Biryani Chicken curry Mutton curry
173,0.3,0.1,0,15,14,0.3,Roti Gobi paratha Dum aloo
153,9.9,1.6,4,203,30,9.91,Khichdi Begun bhaja Mutton curry
261,22,9.9,71,1140,6,22.2,Biryani Keema curry Onion raita
282,14,2.5,0,2867,330,14.28,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta.
333,15,0.6,0,17,689,14.59,Rice Dal lentils Fish curry
233,4.1,2.2,0,76,2240,4.07,Roti flatbread Chicken curry Mixed vegetable sabzi
130,0.5,0.1,0,811,3,0.47,Khichuri rice and lentil porridge Aloo bhaja fried potatoes Fish fry
311,3.5,0.6,0,70,813,3.5,Luchi deep-fried flatbread Aloo dum spiced potato curry Cholar dal Bengal gram lentils
195,15,3.2,49,56,35,15.3,Steamed rice Shorshe Ilish Hilsa fish in mustard sauce Bhindi bhaja fried okra
482,20,3.3,0,883,14,20.4,Paratha layered flatbread Mutton curry Baingan bhaja fried eggplant
475,32,9.5,0,80,252,32.38,Panta bhat fermented rice soaked in water Shorshe Maach mustard fish Potato mash
341,1,0.2,0,73,384,1.04,Rice Lau Ghonto bottle gourd curry Bhapa Maach steamed fish
717,81,50,215,11,24,81.11,Radhaballavi stuffed lentil puri Chholar dal Aloo posto potatoes in poppy seed paste
108,0.2,0,0,19,4,0.2,Vegetable pulao Chicken rezala Raita
345,1.6,0.3,0,4,32,1.6,Rice Shorshe Posto Bata Diye Bhetki mustard-poppy seed paste fish Tomato chutney
27,0,0,0,15,19,0.04,Panta Ilish fermented rice with Hilsa fish Shingara samosa Chingri bhaja fried shrimp
350,17,5.3,0,544,27,16.61,Paratha Niramish Aloo Dum vegetarian spiced potato curry Gobi Manchurian
351,22,4,40,1140,32,21.74,Rice Doi Maach fish in yogurt curry Bandhakopir torkari cabbage curry
120,7.1,1.1,2,178,36,7.09,Mutton biryani Raita Keema matar minced meat with peas
321,7.4,3.5,55,253,62,7.37,Roti Bhindi do pyaza Palak paneer
63,0.2,0,0,0,13,0.2,Biryani Kosha Mangsho slow-cooked mutton Egg curry
165,8.7,2.2,71,72,7,8.7,Rice Shorshe Bhapa Chingri mustard-steamed prawns Kacha aam er chatni raw mango chutney
62,1.4,0.2,0,41,123,1.44,Radhaballavi Chanar dalna cottage cheese curry Bhaja mulo fried radish
519,34,29,0,6,18,33.6,Chapati Bhindi masala Rajma chawal
39,0.3,0,0,0,6,0.25,Vegetable biryani Rajma curry Boondi raita
273,6.3,1.5,0,524,176,6.3,Rice Maacher tel jhal spicy fish curry Aloo fulkopi bhaja fried potatoes with cauliflower
530,30,16,19,245,86,30.38,Chapati Gobi paratha Dum aloo
143,8.1,2.3,86,60,6,8.1,Khichdi Labra mixed vegetable curry Fish curry
63,0.2,0,0,1,9,0.16,Rice Shorshe Posto Diye Rui Maach rohu fish in mustard and poppy seed paste Kachumber salad
254,0.1,0,0,21,6,0.1,Paratha Baingan masala Rajma chawal
375,3.7,0.8,0,326,0,3.7,Luchi Chholar dal Alur torkari potato curry
45,0.6,0.1,0,872,150,0.64,Rice Bhapa Shorshe Maach steamed mustard fish Kakrol bhaja stir-fried teasel gourd
306,0.3,0.1,0,102,625,0.3,Chapati Malai kofta Aloo methi sabzi potatoes with fenugreek
260,3.9,0.9,0,538,43,3.9,Biryani Keema curry Onion raita
23,0.3,0.1,0,20,215,0.33,Rice Ilish bhapa steamed Hilsa fish Shojne daata diye moong dal
352,1.2,0.2,0,9,29,1.16,Radhaballavi Aloo dum Lau chingri bottle gourd with prawns
326,29,10,70,876,12,28.72,Paratha Baingan bharta Mix vegetable raita
325,14,1.6,0,52,525,14.01,Luchi Aloo posto Chana masala
476,26,4.1,0,1770,101,25.9,Rice Pabda fish curry Potol bhaja fried pointed gourd
360,1.1,0.2,0,1,17,1.05,Chapati Methi aloo Gajar matar sabzi carrot and pea curry
69,2,0.3,0,2853,289,1.97,Biryani Chicken rezala Pineapple raita
315,13,7,0,11,1652,12.75,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta
50,0,0,0,813,0,0,Vegetable pulao Kadai paneer Cucumber tomato salad
197,9,1.7,0,468,17,8.99,Rice Shrimp curry Jhinge aloo posto ridge gourd with potatoes in poppy seed paste
385,22,3.7,0,780,22,22.23,Paratha Methi thepla Aloo matar curry
125,3.7,1.2,73,83,6,3.67,Radhaballavi Aloo bhaja Tomato khejur chutney
884,100,8,0,0,0,100,Chapati Paneer tikka masala Bhindi masala
15,0.1,0,0,5,39,0.07,Luchi Sorshe Shorshe mustard-flavored curry Moong dal
319,2.1,0.6,0,1435,587,2.1,Rice Shorshe Posto Bata Diye Ilish Bhapa Hilsa fish in poppy seed paste Bitter gourd fry
391,2.1,0.5,83,21,40,2.1,Biryani Chicken curry Mutton curry
55,0.3,0,0,1,26,0.31,Roti Gobi paratha Dum aloo
43,0.2,0,0,1,18,0.2,Khichdi Begun bhaja Mutton curry
147,6.8,0.8,0,15,197,6.8,Biryani Keema curry Onion raita
151,8.1,1.2,0,20,188,8.1,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta.
161,8.3,0,0,0,3,8.3,Rice Dal lentils Fish curry
120,2.4,1,85,51,5,2.42,Roti flatbread Chicken curry Mixed vegetable sabzi
49,0.2,0,0,1,43,0.15,Khichuri rice and lentil porridge Aloo bhaja fried potatoes Fish fry
474,23,7,0,657,76,23.38,Luchi deep-fried flatbread Aloo dum spiced potato curry Cholar dal Bengal gram lentils
144,6.7,1.6,66,81,5,6.65,Steamed rice Shorshe Ilish Hilsa fish in mustard sauce Bhindi bhaja fried okra
44,1,0.2,0,50,129,0.97,Paratha layered flatbread Mutton curry Baingan bhaja fried eggplant
23,0.3,0.1,0,45,100,0.3,Panta bhat fermented rice soaked in water Shorshe Maach mustard fish Potato mash
115,0.2,0,0,14,18,0.2,Rice Lau Ghonto bottle gourd curry Bhapa Maach steamed fish
19,0.1,0,0,2,17,0.13,Radhaballavi stuffed lentil puri Chholar dal Aloo posto potatoes in poppy seed paste
177,12,1.7,32,481,26,11.9,Vegetable pulao Chicken rezala Raita
223,17,4,77,911,148,17.29,Rice Shorshe Posto Bata Diye Bhetki mustard-poppy seed paste fish Tomato chutney
375,0.1,0,0,50,3,0.05,Panta Ilish fermented rice with Hilsa fish Shingara samosa Chingri bhaja fried shrimp
884,100,85,0,0,0,100,Paratha Niramish Aloo Dum vegetarian spiced potato curry Gobi Manchurian
335,3.4,0.4,0,1005,178,3.39,Rice Doi Maach fish in yogurt curry Bandhakopir torkari cabbage curry
283,0.2,0,0,62,13,0.2,Mutton biryani Raita Keema matar minced meat with peas
148,6.7,1.7,52,72,51,6.73,Roti Bhindi do pyaza Palak paneer
76,1.5,0.3,25,18,8,1.52,Biryani Kosha Mangsho slow-cooked mutton Egg curry
282,22,8,45,1127,43,22.3,Rice Shorshe Bhapa Chingri mustard-steamed prawns Kacha aam er chatni raw mango chutney
358,0,0,0,1,20,0.02,Radhaballavi Chanar dalna cottage cheese curry Bhaja mulo fried radish
68,1,0.3,0,2,18,0.95,Chapati Bhindi masala Rajma chawal
392,25,2.2,0,160,1767,25.27,Vegetable biryani Rajma curry Boondi raita
522,34,4.7,0,156,78,33.7,Rice Maacher tel jhal spicy fish curry Aloo fulkopi bhaja fried potatoes with cauliflower
284,3.6,0.7,0,664,80,3.6,Chapati Gobi paratha Dum aloo
884,100,6.3,0,0,0,100,Khichdi Labra mixed vegetable curry Fish curry
394,7.3,4.4,1,46,10,7.32,Rice Shorshe Posto Diye Rui Maach rohu fish in mustard and poppy seed paste Kachumber salad
197,9,1.4,0,550,25,9,Paratha Baingan masala Rajma chawal
112,1.6,0.4,85,90,4,1.64,Luchi Chholar dal Alur torkari potato curry
27,0.4,0,0,20,115,0.42,Rice Bhapa Shorshe Maach steamed mustard fish Kakrol bhaja stir-fried teasel gourd
35,0.3,0.1,0,48,70,0.28,Chapati Malai kofta Aloo methi sabzi potatoes with fenugreek
360,18,6.1,76,357,118,18.3,Biryani Keema curry Onion raita
107,0.4,0.1,0,4,70,0.4,Rice Ilish bhapa steamed Hilsa fish Shojne daata diye moong dal
412,9.5,1.4,0,713,22,9.5,Radhaballavi Aloo dum Lau chingri bottle gourd with prawns
58,1.4,0.2,0,41,123,1.44,Paratha Baingan bharta Mix vegetable raita
413,11,9.1,6,319,410,10.98,Luchi Aloo posto Chana masala
250,3.1,0.4,0,596,68,3.1,Rice Pabda fish curry Potol bhaja fried pointed gourd
111,1.5,0.5,55,58,4,1.45,Chapati Methi aloo Gajar matar sabzi carrot and pea curry
31,0,0,0,469,0,0,Biryani Chicken rezala Pineapple raita
116,2.4,0.8,71,72,5,2.4,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta
106,3.6,1.2,51,1038,4,3.59,Vegetable pulao Kadai paneer Cucumber tomato salad
71,0,0,0,4,12,0.03,Rice Shrimp curry Jhinge aloo posto ridge gourd with potatoes in poppy seed paste
257,15,3.8,36,460,116,14.96,Paratha Methi thepla Aloo matar curry
327,1.2,0.1,0,20,241,1.22,Radhaballavi Aloo bhaja Tomato khejur chutney
315,6.6,1.6,56,417,102,6.6,Chapati Paneer tikka masala Bhindi masala
85,0.7,0.2,73,88,15,0.7,Luchi Sorshe Shorshe mustard-flavored curry Moong dal
124,4.2,0.9,59,60,7,4.24,Rice Shorshe Posto Bata Diye Ilish Bhapa Hilsa fish in poppy seed paste Bitter gourd fry
345,15,0.5,0,88,1196,14.87,Biryani Chicken curry Mutton curry
58,0.1,0,0,10,30,0.1,Roti Gobi paratha Dum aloo
27,0.5,0,0,13,14,0.45,Khichdi Begun bhaja Mutton curry
37,0.2,0,0,42,30,0.2,Biryani Keema curry Onion raita
253,0.1,0,0,42,6,0.1,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta.
95,3.5,1.3,20,130,14,3.47,Rice Dal lentils Fish curry
258,3,0.4,0,107,110,2.97,Roti flatbread Chicken curry Mixed vegetable sabzi
36,0.1,0,0,4,7,0.14,Khichuri rice and lentil porridge Aloo bhaja fried potatoes Fish fry
19,0.4,0.2,0,11,39,0.4,Luchi deep-fried flatbread Aloo dum spiced potato curry Cholar dal Bengal gram lentils
28,0.1,0,0,9,11,0.1,Steamed rice Shorshe Ilish Hilsa fish in mustard sauce Bhindi bhaja fried okra
33,0.3,0.1,0,31,10,0.25,Paratha layered flatbread Mutton curry Baingan bhaja fried eggplant
902,100,23,570,0,0,100,Panta bhat fermented rice soaked in water Shorshe Maach mustard fish Potato mash
509,31,4.1,0,0,54,31.41,Rice Lau Ghonto bottle gourd curry Bhapa Maach steamed fish
276,2.8,0.5,0,492,67,2.8,Radhaballavi stuffed lentil puri Chholar dal Aloo posto potatoes in poppy seed paste
381,9.7,2.9,19,4152,146,9.73,Vegetable pulao Chicken rezala Raita
96,2.3,0.4,50,53,26,2.31,Rice Shorshe Posto Bata Diye Bhetki mustard-poppy seed paste fish Tomato chutney
207,11,6.8,44,80,128,11,Panta Ilish fermented rice with Hilsa fish Shingara samosa Chingri bhaja fried shrimp
41,1.7,0.2,0,49,123,1.65,Paratha Niramish Aloo Dum vegetarian spiced potato curry Gobi Manchurian
27,0.1,0,0,28,35,0.1,Rice Doi Maach fish in yogurt curry Bandhakopir torkari cabbage curry
96,1.7,0.6,50,52,10,1.7,Mutton biryani Raita Keema matar minced meat with peas
22,0.5,0.1,0,33,108,0.49,Roti Bhindi do pyaza Palak paneer
365,4.7,0.7,0,35,7,4.74,Biryani Kosha Mangsho slow-cooked mutton Egg curry
89,0.5,0.1,50,68,118,0.5,Rice Shorshe Bhapa Chingri mustard-steamed prawns Kacha aam er chatni raw mango chutney
72,0.2,0,0,50,41,0.2,Radhaballavi Chanar dalna cottage cheese curry Bhaja mulo fried radish
237,8.6,2.3,21,129,86,8.57,Chapati Bhindi masala Rajma chawal
465,18,5.2,7,1089,96,18.3,Vegetable biryani Rajma curry Boondi raita
498,25,6.4,0,342,60,24.9,Rice Maacher tel jhal spicy fish curry Aloo fulkopi bhaja fried potatoes with cauliflower
41,0.5,0.1,0,5,56,0.51,Chapati Gobi paratha Dum aloo
74,0.5,0.1,54,213,11,0.45,Khichdi Labra mixed vegetable curry Fish curry
304,26,9,174,1225,8,25.6,Rice Shorshe Posto Diye Rui Maach rohu fish in mustard and poppy seed paste Kachumber salad
148,7.7,2,69,58,19,7.66,Paratha Baingan masala Rajma chawal
278,0.1,0,0,32,20,0.07,Luchi Chholar dal Alur torkari potato curry
35,0.1,0,0,78,32,0.13,Rice Bhapa Shorshe Maach steamed mustard fish Kakrol bhaja stir-fried teasel gourd
884,100,90,0,0,0,100,Chapati Malai kofta Aloo methi sabzi potatoes with fenugreek
360,1.1,0.2,0,1,17,1.05,Biryani Keema curry Onion raita
337,16,0.6,0,16,646,15.9,Rice Ilish bhapa steamed Hilsa fish Shojne daata diye moong dal
387,2.4,0.4,0,488,19,2.4,Radhaballavi Aloo dum Lau chingri bottle gourd with prawns
101,0.1,0,0,20,15,0.1,Paratha Baingan bharta Mix vegetable raita
414,21,11,57,361,53,20.9,Luchi Aloo posto Chana masala
108,7,4.6,27,44,193,7,Rice Pabda fish curry Potol bhaja fried pointed gourd
23,0.3,0.1,0,3,10,0.3,Chapati Methi aloo Gajar matar sabzi carrot and pea curry
34,0.3,0,0,8,208,0.25,Biryani Chicken rezala Pineapple raita
370,19,12,2,979,70,18.92,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta
241,1.2,0,6,359,124,1.24,Vegetable pulao Kadai paneer Cucumber tomato salad
153,1.9,1,79,2790,8,1.94,Rice Shrimp curry Jhinge aloo posto ridge gourd with potatoes in poppy seed paste
458,28,2.6,0,9,172,27.74,Paratha Methi thepla Aloo matar curry
